  typed ident  ,typ, RA,DEC,l,b,     spec. type     ,avg
HD 293396      ,Be*,107.2448239,-1.015799959,215.8397798,3.437379078,B2                  ,nan
HD 56670       ,Be*,109.4016593,-9.414431451,224.2874045,1.458185681,B5Ib                ,nan
HD 42379       ,Em*,92.82535788,21.5637864,189.2849249,1.339545589,B1II                ,nan
BD-20 1913     ,Em*,111.1824359,-20.93773269,235.2675829,-2.443013672,B0III               ,nan
* zet01 Sco    ,s*b,253.4988625,-42.3620316,343.0275333,0.86998724,B1Ia-0ek            ,nan
HD 120991      ,Be*,208.4885012,-47.12815921,313.8410838,14.41507314,B2Ve                ,nan
V5563 Sgr      ,WU*,271.1424556,-24.36680755,6.08136993,-1.346039661,B2Vne               ,nan
V* IU Aur      ,bL*,81.96835577,34.7828732,173.0462977,-0.030535501,B3Vnne              ,nan
HD 4841        ,Em*,12.85802821,63.78116911,122.9312785,0.909419117,B5Ia                ,nan
HD 232534      ,Em*,27.13006711,51.12255899,131.9924607,-10.74222171,B2                  ,nan
HD 12856       ,Be*,31.97257942,57.10568717,133.2034321,-4.233550457,B0pe                ,nan
HD 15571       ,Em*,38.1032444,57.4290007,136.2210474,-2.814118001,B1II                ,nan
BD+49 916      ,Em*,51.07210084,49.66663396,146.6722725,-6.027534656,B3p_sh              ,nan
HD 280006      ,Em*,69.01398797,36.6675174,165.1134405,-7.197779969,A0Ibe:              ,nan
HD 243770      ,Em*,81.95994905,33.62330785,174.0066109,-0.680523291,B3e                 ,nan
HD 247795      ,Em*,87.28647327,31.8355744,177.9121635,2.151153343,B0e                 ,nan
BD-08 1743     ,Em*,106.5901559,-9.168848421,222.78518,-0.887541596,B1e                 ,nan
HD 65176       ,Em*,119.3548489,-1.612860283,222.0871931,13.87279267,B1Ib/II             ,nan
HD 297635      ,Em*,148.1585138,-48.83208984,275.2686621,4.195405084,B0                  ,nan
HD 87643       ,Em*,151.1261855,-58.66448299,282.6576432,-2.526390343,B3I[e]              ,nan
HD 302793      ,Be*,156.4642966,-58.79535717,285.0252294,-1.080313588,OB                  ,nan
